Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,11,,20,230.990,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,231.030,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,231.081,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,231.310,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,232.121,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,233.490,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,233.970,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,236.300,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,236.361,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,236.825,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,237.440,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,239.360,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,240.420,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,240.955,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,247.640,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,247.740,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,254.695,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,254.790,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,254.855,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,255.285,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,266.771,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,266.795,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,267.010,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,268.000,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,269.536,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,277.845,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,278.000,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,279.650,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,282.600,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,282.620,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,282.815,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,284.120,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,285.370,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,294.120,4,1,0,0,0,0,0,0,0,0,0
