Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,3,,2,240.150,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,241.835,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,241.861,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,242.265,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,242.345,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,243.785,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,243.915,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,244.235,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,244.285,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,244.400,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,244.490,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,247.080,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,255.060,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,257.235,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,257.995,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,258.390,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,282.350,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,282.420,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,282.460,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,282.495,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,282.995,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,283.840,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,288.660,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,288.711,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,288.760,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,290.010,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,292.351,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,304.520,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,304.860,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,310.990,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,311.011,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,314.695,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,324.851,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,324.930,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,324.995,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,325.220,4,0,0,0,0,0,0,0,0,0,1
